"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"3";"0.1uF";"CAP0805";"0805";"C1, C5, C6";"Capacitor";"";
"1";"10k";"RESISTOR0805-RES";"0805";"R10";"Resistor";"";
"1";"10uF";"CAP_POL0805";"0805-POL";"C3";"";"";
"1";"16MHz";"RESONATORSMD";"RESONATOR-SMD";"Y1";"Resonator";"";
"1";"1k";"RESISTOR0805-RES";"0805";"R9";"Resistor";"";
"8";"75";"RESISTOR0805-RES";"0805";"R1, R2, R3, R4, R5, R6, R7, R8";"Resistor";"";
"1";"ATMEGA328";"ATMEGA168";"TQFP32-08";"U4";"";"";
"1";"BLUE";"LED-0805";"0805-LED";"LED1";"Generic LED in 0805 package.  Both package and symbol copied from SparkFun libraries but they don't have a component LED in 0805.";"";
"8";"BSS84";"MOSFET-PCHANNELSMD";"SOT23-3";"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8";"Generic PMOSFET";"";
"1";"I2C";"M04PTH";"1X04";"JP1";"Header 4";"";
"1";"ICSP";"AVR_SPI_PRG_6PTH";"2X3";"J1";"AVR ISP 6 Pin";"";
"8";"IRFML8244";"MOSFET-NCHANNELBSS123LT1G";"SOT23";"Q9, Q10, Q11, Q12, Q13, Q14, Q15, Q16";"Common NMOSFET Parts";"";
"2";"hp";"7-SEGMENT-4DIGIT-COUNTER-HP-BUBBLE-DISPLAY";"DIL12";"DISPLAY1, DISPLAY2";"";"";
